Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base,0.035411,-0.0027647,0.026078,0,0,0,2.3028,0.0093356,-7.6098E-06,0.00015735,0.0092042,4.7524E-06,0.013207,0,0,0,0,0,0,package://dog2/meshes/base.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://dog2/meshes/base.STL,,真狗身-1,base,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
fr_hip,-0.032711,-0.016967,1.8122E-06,0,0,0,0.10759,0.00017231,-3.9991E-05,-2.0645E-09,0.00018148,1.8096E-09,0.00015968,0,0,0,0,0,0,package://dog2/meshes/fr_hip.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://dog2/meshes/fr_hip.STL,,髋关节-1,fr_hip,11轴,fr_hip,revolute,0.23995,-0.064815,0,0,0,0,base,-1,0,0,0,0,0,0,,,,,,,,
fr_thigh,-0.011369,0.0054946,-0.08161,0,0,0,0.20926,0.0010259,7.041E-06,6.64E-05,0.0011552,4.801E-05,0.00018159,0,0,0,0,0,0,package://dog2/meshes/fr_thigh.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://dog2/meshes/fr_thigh.STL,,大腿-1,fr_thigh,12轴,fr_thigh,revolute,0,-0.095,0,0,0,0,fr_hip,0,-1,0,0,0,0,0,,,,,,,,
fr_calf,0.0065103,-0.00099921,-0.1549,0,0,0,0.12339,0.00037429,8.8144E-10,-2.0308E-05,0.00038255,2.5195E-09,2.3961E-05,0,0,0,0,0,0,package://dog2/meshes/fr_calf.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://dog2/meshes/fr_calf.STL,,足-1,fr_calf,13轴,fr_calf,revolute,0,0.001,-0.246,0,0,0,fr_thigh,0,-1,0,0,0,0,0,,,,,,,,
fl_hip,-0.032711,0.016967,1.7856E-06,0,0,0,0.10759,0.00017231,3.9991E-05,-6.3336E-09,0.00018148,-4.115E-09,0.00015968,0,0,0,0,0,0,package://dog2/meshes/fl_hip.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://dog2/meshes/fl_hip.STL,,镜向髋关节-3,fl_hip,21轴,fl_hip,revolute,0.23995,0.059185,0,0,0,0,base,-1,0,0,0,0,0,0,,,,,,,,
fl_thigh,-0.011368,-0.0054947,-0.08161,0,0,0,0.20926,0.001026,-7.0408E-06,6.6404E-05,0.0011553,-4.8013E-05,0.00018159,0,0,0,0,0,0,package://dog2/meshes/fl_thigh.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://dog2/meshes/fl_thigh.STL,,镜向大腿-3,fl_thigh,22轴,fl_thigh,revolute,0,0.095,0,0,0,0,fl_hip,0,1,0,0,0,0,0,,,,,,,,
fl_calf,0.0065104,-7.0585E-07,-0.15491,0,0,0,0.1234,0.00037429,-8.061E-10,-2.0307E-05,0.00038255,-2.7503E-09,2.3961E-05,0,0,0,0,0,0,package://dog2/meshes/fl_calf.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://dog2/meshes/fl_calf.STL,,镜向足-3,fl_calf,23轴,fl_calf,revolute,0,0,-0.246,0,0,0,fl_thigh,0,1,0,0,0,0,0,,,,,,,,
rr_hip,0.032711,-0.016967,-1.8122E-06,0,0,0,0.10759,0.00017231,3.9991E-05,-2.0645E-09,0.00018148,-1.8096E-09,0.00015968,0,0,0,0,0,0,package://dog2/meshes/rr_hip.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://dog2/meshes/rr_hip.STL,,髋关节-2,rr_hip,31轴,rr_hip,revolute,-0.24005,-0.064815,0,0,0,0,base,1,0,0,0,0,0,0,,,,,,,,
rr_thigh,-0.0113689604361175,0.00549463315557325,-0.0816099625987825,0,0,0,0.209259865814441,0.00102593949149073,7.04104918147814E-06,6.64002286630853E-05,0.0011552326351087,4.80102396937492E-05,0.000181594613918621,0,0,0,0,0,0,package://dog2/meshes/rr_thigh.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://dog2/meshes/rr_thigh.STL,,大腿-2,rr_thigh,32轴,rr_thigh,revolute,0,-0.095,0,0,0,0,rr_hip,0,-1,0,0,0,0,0,,,,,,,,
rr_calf,0.0065103,-0.00099921,-0.1549,0,0,0,0.12339,0.00037429,8.8174E-10,-2.0308E-05,0.00038255,2.5189E-09,2.3961E-05,0,0,0,0,0,0,package://dog2/meshes/rr_calf.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://dog2/meshes/rr_calf.STL,,足-2,rr_calf,33轴,rr_calf,revolute,0,0.001,-0.246,0,0,0,rr_thigh,0,-1,0,0,0,0,0,,,,,,,,
rl_hip,0.032711,0.016967,-1.7856E-06,0,0,0,0.10759,0.00017231,-3.9991E-05,-6.3336E-09,0.00018148,4.115E-09,0.00015968,0,0,0,0,0,0,package://dog2/meshes/rl_hip.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://dog2/meshes/rl_hip.STL,,镜向髋关节-4,rl_hip,41轴,rl_hip,revolute,-0.24005,0.059185,0,0,0,0,base,1,0,0,0,0,0,0,,,,,,,,
rl_thigh,-0.011368,-0.0054947,-0.08161,0,0,0,0.20926,0.001026,-7.0408E-06,6.6404E-05,0.0011553,-4.8013E-05,0.00018159,0,0,0,0,0,0,package://dog2/meshes/rl_thigh.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://dog2/meshes/rl_thigh.STL,,镜向大腿-4,rl_thigh,42轴,rl_thigh,revolute,0,0.095,0,0,0,0,rl_hip,0,1,0,0,0,0,0,,,,,,,,
rl_calf,0.0065104,-7.066E-07,-0.15491,0,0,0,0.1234,0.00037429,-8.0732E-10,-2.0307E-05,0.00038255,-2.7503E-09,2.3961E-05,0,0,0,0,0,0,package://dog2/meshes/rl_calf.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://dog2/meshes/rl_calf.STL,,镜向足-4,rl_calf,43轴,rl_calf,revolute,0,0,-0.246,0,0,0,rl_thigh,0,1,0,0,0,0,0,,,,,,,,
